pub_date	title	venue	excerpt	citation	url_slug	paper_url
2024-12-12	A Comparative Study On The Liquefaction Assessment For Rajshahi City Corporation, Bangladesh	N/A	This research endeavor entails compiling a database of 60 boreholes from various places throughout Rajshahi City Corporation (RCC), Bangladesh, a growing developed city. Three approaches were employed...	Md Ashikuzzaman, Md Shakil Ar Salan, Ahmed Hossain, Md Amdad Ullah Roni, Mahfuza Akter (2024). "A Comparative Study On The Liquefaction Assessment For Rajshahi City Corporation, Bangladesh" N/A.	a-comparative-study-on-the-liquefaction-assessment-for-rajshahi-city-corporation-bangladesh	https://www.researchgate.net/profile/Md-Ashikuzzaman-4/publication/385522396_A_COMPARATIVE_STUDY_ON_THE_LIQUEFACTION_ASSESSMENT_FOR_RAJSHAHI_CITY_CORPORATION_BANGLADESH/links/672948fb2326b47637c7b1c1/A-COMPARATIVE-STUDY-ON-THE-LIQUEFACTION-ASSESSMENT-FOR-RAJSHAHI-CITY-CORPORATION-BANGLADESH.pdf
2024-11-27	Unraveling The Complex Relationship Between Weather Conditions And Traffic Safety	N/A	Understanding the impact of different weather conditions on crash frequency and crash severance is essential for developing effective strategies and interventions to mitigate road crashes. Extensive r...	Subasish Das, Swastika Barua, Ahmed Hossain (2024). "Unraveling The Complex Relationship Between Weather Conditions And Traffic Safety" N/A.	unraveling-the-complex-relationship-between-weather-conditions-and-traffic-safety	https://www.tandfonline.com/doi/abs/10.1080/19439962.2024.2435307
2024-11-01	Exploring Attribute Associations In Pedestrian-involved Hit-and-run Crashes Through Cluster Correspondence Analysis	Transportation Research Record	Pedestrian-involved hit-and-run (PIHR) crashes represent a significant public health concern, and identifying patterns in these crashes can aid in developing effective countermeasures. Cluster corresp...	M Ashifur Rahman, Subasish Das, Ahmed Hossain, Julius Codjoe, Elisabeta Mitran, Xiaodaun Sun (2024). "Exploring Attribute Associations In Pedestrian-involved Hit-and-run Crashes Through Cluster Correspondence Analysis" Transportation Research Record.	exploring-attribute-associations-in-pedestrian-involved-hit-and-run-crashes-through-cluster-correspondence-analysis	https://journals.sagepub.com/doi/abs/10.1177/03611981241242751
2024-10-15	A Survey On Deep Tabular Learning	arXiv preprint arXiv:2410.12034	Tabular data, widely used in industries like healthcare, finance, and transportation, presents unique challenges for deep learning due to its heterogeneous nature and lack of spatial structure. This s...	Shriyank Somvanshi, Subasish Das, Syed Aaqib Javed, Gian Antariksa, Ahmed Hossain (2024). "A Survey On Deep Tabular Learning" arXiv preprint arXiv:2410.12034.	a-survey-on-deep-tabular-learning	https://arxiv.org/abs/2410.12034
2024-09-01	Single-vehicle Roadway Departure Crashes At Rural Two-lane Highway Curved Segments: A Diagnosis Using Pattern Recognition	International Journal of Transportation Science and Technology	Curved segments account for a disproportionately high proportion of fatal and serious injury crashes, with most of these crashes occurring on rural two-lane (R2L) highways. During the 10-year period f...	Ahmed Hossain, Xiaoduan Sun, Shahrin Islam, Ashifur Rahman, Subasish Das (2024). "Single-vehicle Roadway Departure Crashes At Rural Two-lane Highway Curved Segments: A Diagnosis Using Pattern Recognition" International Journal of Transportation Science and Technology.	single-vehicle-roadway-departure-crashes-at-rural-two-lane-highway-curved-segments-a-diagnosis-using-pattern-recognition	https://www.sciencedirect.com/science/article/pii/S2046043023000801
2024-06-06	Investigating Older Driver Crashes On High-speed Roadway Segments: A Hybrid Approach With Extreme Gradient Boosting And Random Parameter Model	Transportmetrica A: Transport Science	Older drivers are often more susceptible to crashes due to age-related physical and cognitive limitations, particularly in complex driving environments. Considering the limited research in this area, ...	Ahmed Hossain, Xiaoduan Sun, Subasish Das, Monire Jafari, Julius Codjoe (2024). "Investigating Older Driver Crashes On High-speed Roadway Segments: A Hybrid Approach With Extreme Gradient Boosting And Random Parameter Model" Transportmetrica A: Transport Science.	investigating-older-driver-crashes-on-high-speed-roadway-segments-a-hybrid-approach-with-extreme-gradient-boosting-and-random-parameter-model	https://www.tandfonline.com/doi/abs/10.1080/23249935.2024.2362362
2024-06-01	Investigating Pedestrian Crash Patterns At High-speed Intersection And Road Segments: Findings From The Unsupervised Learning Algorithm	International Journal of Transportation Science and Technology	Pedestrian crashes at high-speed locations are a persistent road safety concern. Driving at high speeds means that the driver has less time to react and make evasive maneuvers to avoid a pedestrian cr...	Ahmed Hossain, Xiaoduan Sun, Niaz Mahmud Zafri, Julius Codjoe (2024). "Investigating Pedestrian Crash Patterns At High-speed Intersection And Road Segments: Findings From The Unsupervised Learning Algorithm" International Journal of Transportation Science and Technology.	investigating-pedestrian-crash-patterns-at-high-speed-intersection-and-road-segments-findings-from-the-unsupervised-learning-algorithm	https://www.sciencedirect.com/science/article/pii/S2046043023000369
2024-05-13	Efficacy Of Bedside Index For Severity In Acute Pancreatitis (Bisap) Score As Predictor Of In-hospital Outcome In Acute Pancreatitis	Bangladesh Journal of Medicine	Background
Acute pancreatitis is a potentially life-threatening condition characterized by inflammation of the pancreas. Early identification of patients at risk of severe disease is crucial for devis...	Mohammad Sirajul Islam, Ahmed Hossain, Daharul Islam, Mahmuda Abira (2024). "Efficacy Of Bedside Index For Severity In Acute Pancreatitis (Bisap) Score As Predictor Of In-hospital Outcome In Acute Pancreatitis" Bangladesh Journal of Medicine.	efficacy-of-bedside-index-for-severity-in-acute-pancreatitis-bisap-score-as-predictor-of-in-hospital-outcome-in-acute-pancreatitis	https://banglajol.info/index.php/BJMED/article/view/72610
2024-05-01	Critical Risk Factors Associated With Fatal/severe Crash Outcomes In Personal Mobility Device Rider At-fault Crashes: A Two-step Inter-cluster Rule Mining Technique	Accident Analysis & Prevention	Personal Mobility Devices (PMDs) have witnessed an extraordinary surge in popularity, emerging as a favored mode of urban transportation. This has sparked significant safety concerns, paralleled by a ...	Reuben Tamakloe, Kaihan Zhang, Ahmed Hossain, Inhi Kim, Shin Hyoung Park (2024). "Critical Risk Factors Associated With Fatal/severe Crash Outcomes In Personal Mobility Device Rider At-fault Crashes: A Two-step Inter-cluster Rule Mining Technique" Accident Analysis & Prevention.	critical-risk-factors-associated-with-fatalsevere-crash-outcomes-in-personal-mobility-device-rider-at-fault-crashes-a-two-step-inter-cluster-rule-mining-technique	https://www.sciencedirect.com/science/article/pii/S0001457524000721
2024-05-01	Investigating Pedestrian-vehicle Crashes On Interstate Highways: Applying Random Parameter Binary Logit Model With Heterogeneity In Means	Accident Analysis & Prevention	In the U.S., the interstate highway system is categorized as a controlled-access or limited-access route, and it is unlawful for pedestrians to enter or cross this type of highway. However, pedestrian...	Ahmed Hossain, Xiaoduan Sun, Subasish Das, Monire Jafari, Ashifur Rahman (2024). "Investigating Pedestrian-vehicle Crashes On Interstate Highways: Applying Random Parameter Binary Logit Model With Heterogeneity In Means" Accident Analysis & Prevention.	investigating-pedestrian-vehicle-crashes-on-interstate-highways-applying-random-parameter-binary-logit-model-with-heterogeneity-in-means	https://www.sciencedirect.com/science/article/pii/S0001457524000484
2024-05-01	Probing Into Driver Speeding Patterns And Their Influence On Child Occupancy In Urban Areas	Transportation research record	Many studies have investigated how child occupants lead to distraction-associated crashes. However, not many studies have focused on how the presence of child passengers influences drivers’ speeding b...	Subasish Das, Xiaoqiang Kong, Zihang Wei, Xiao Xiao, David Mills, Ahmed Hossain (2024). "Probing Into Driver Speeding Patterns And Their Influence On Child Occupancy In Urban Areas" Transportation research record.	probing-into-driver-speeding-patterns-and-their-influence-on-child-occupancy-in-urban-areas	https://journals.sagepub.com/doi/abs/10.1177/03611981231188374
2024-04-19	Toll Road Crash Severity Using Mixed Logit Model Incorporating Heterogeneous Mean Structures	Transportmetrica A: Transport Science	The current study examined 1,465 crash observations (2017–2021) from Louisiana, identifying significant variables grouped into three major categories: drivers’, crash, and road characteristics. Consid...	Subasish Das, Monire Jafari, Ahmed Hossain, Rohit Chakraborty, Mahmuda Sultana Mimi (2024). "Toll Road Crash Severity Using Mixed Logit Model Incorporating Heterogeneous Mean Structures" Transportmetrica A: Transport Science.	toll-road-crash-severity-using-mixed-logit-model-incorporating-heterogeneous-mean-structures	https://www.tandfonline.com/doi/abs/10.1080/23249935.2024.2343755
2024-04-13	Exploring Traffic Crash Narratives In Jordan Using Text Mining Analytics	2024 IEEE 3rd International Conference on Computing and Machine Intelligence (ICMI)	This study explores traffic crash narratives in an attempt to inform and enhance effective traffic safety policies using text-mining analytics. Text mining techniques are employed to unravel key theme...	Shadi Jaradat, Taqwa I Alhadidi, Huthaifa I Ashqar, Ahmed Hossain, Mohammed Elhenawy (2024). "Exploring Traffic Crash Narratives In Jordan Using Text Mining Analytics" 2024 IEEE 3rd International Conference on Computing and Machine Intelligence (ICMI).	exploring-traffic-crash-narratives-in-jordan-using-text-mining-analytics	https://ieeexplore.ieee.org/abstract/document/10586010/
2024-04-01	Case Study On The Traffic Collision Patterns Of E-scooter Riders	Transportation research record	In recent years, nonmotorized transportation and micromobility have become increasingly popular in urban areas, and bike sharing and e-scooter usage are more affordable and accessible than ever before...	Subasish Das, Ahmed Hossain, M Ashifur Rahman, Abbas Sheykhfard, Boniphace Kutela (2024). "Case Study On The Traffic Collision Patterns Of E-scooter Riders" Transportation research record.	case-study-on-the-traffic-collision-patterns-of-e-scooter-riders	https://journals.sagepub.com/doi/abs/10.1177/03611981231185770
